순,키워드,출처,성취기준코드,성취기준명
1,4차 산업혁명,정보,[12정보04-08],함수의 개념을 이해하고 함수를 활용한 프로그램을 작성한다.
2,인공지능,기술·가정,[12공학03-01],다양한 분야의 공학의 발전과 동향에 대한 정보를 수집하여 미래 사회에서 다루어질 공학을 예측한다.
,,기술·가정,[12공학02-07],"IT 기반 융합 공학의 원리를 이해하고 동향을 파악하며, 이 공학의 융합 사례를 탐색한다."
,,정보,[12정보05-03],문제 해결에 적합한 하드웨어를 선택하여 컴퓨팅 장치를 구성한다.
,,정보,[12정보02-04],정보를 관리하는 데 적합한 컴퓨팅 도구를 선택하고 이를 활용하여 정보를 체계적으로 관리한다.
,,완산고등학교,[12인기02-01] ,"지능 에이전트가 다양한 센서를 통해 
주변의 환경 및 상황 정보를 탐지하여 인식하는 방법과 원리를 설명한다"
,,완산고등학교,[12인기04-01] ,"인공지능이 미래 사회에서 해결하게 될 여러 가지 
사회적 문제를 예측하고 인공지능의 역할을 제시한다."
,,인공지능기초,[12인기03-01],"인공지능의 발전으로 인한 사회 변화를 살펴보고 
인공지능으로 해결할 수 있는 사회적 문제를 분석한다"
,,완산고등학교,[12인기02-09] ,"딥러닝의 개념을 이해하고, 활용 분야를 탐색한다. "
,,인공지능기초,[12인기02-05],"인공신경망과 딥러닝의 특성에 대한 이해를 
바탕으로 활용 분야를 탐색한다"
,,완산고등학교,[12인기03-01] ,"데이터 속성의 개념을 이해하고,
 기계학습에서 데이터 속성의 역할을 설명한다."
,,완산고등학교,[12인기01-01] ,"인공지능의 개념과 특성을 이해하고, 
인공지능과 인공지능이 아닌 것 을 비교·분석한다."
,,인공지능기초,[12인기01-01],인공지능의 지능적 판단에 대한 이해를 바탕으로 인공지능을 활용한 실생활 및 다양한 학문 분야의 문제해결 사례를 비교 분석한다
,,완산고등학교,[12인기02-01] ,"지능 에이전트가 다양한 센서를 통해 
주변의 환경 및 상황 정보를 탐지하여 인식하는 방법과 원리를 설명한다."
,,기술·가정,[12공학03-02],"공학세계의 다양성과 비전에 대해 분석하고 자신의 흥미, 적성, 능력을 고려하여 진로를 탐색한다."
3,AI,완산고등학교,[12인기01-01] ,"인공지능의 개념과 특성을 이해하고, 
인공지능과 인공지능이 아닌 것 을 비교·분석한다."
,,인공지능기초,[12인기01-01],인공지능의 지능적 판단에 대한 이해를 바탕으로 인공지능을 활용한 실생활 및 다양한 학문 분야의 문제해결 사례를 비교 분석한다
,,완산고등학교,[12인기02-03],"음성 인식과 언어 이해 기법의 활용 분야 및 동작 원리를 탐색하고, 
인간과의 상호작용에 관련한 기술의 발전 방향을 제시한다."
,,완산고등학교,[12인기02-05]," 최상 우선 탐색 방법을 활용하여 문제 해결을 위한 최적의 경로를 찾고, 
최적화 과정에서 정보 이용의 중요성을 인식한다."
,,완산고등학교,[12인기03-01] ,"데이터 속성의 개념을 이해하고,
 기계학습에서 데이터 속성의 역할을 설명한다."
,,완산고등학교,[12인기02-01] ,"지능 에이전트가 다양한 센서를 통해 
주변의 환경 및 상황 정보를 탐지하여 인식하는 방법과 원리를 설명한다."
,,완산고등학교,[12인기04-01] ,"인공지능이 미래 사회에서 해결하게 될 여러 가지 
사회적 문제를 예측하고 인공지능의 역할을 제시한다."
